Team,G,FG,FGA,FGPer,ThreeP,ThreePA,ThreePPer,FT,FTA,FTPer,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TeamScore,RegressedScore
Boston Celtics,24,42.6,86.3,49.4,16.8,41.6,40.4,18.8,22.1,84.9,8,34.2,42.2,27,6.1,5.2,13.9,20.5,120.8,0,
Milwaukee Bucks,22,41.3,89.7,46,13.1,37.3,35.2,17,23.5,72.4,11.6,36.8,48.4,24.6,6.6,6.4,14.9,19.1,112.7,0,
Phoenix Suns,23,43.7,90.7,48.1,12.8,33.3,38.6,16.6,20.5,81.1,11.7,31.6,43.3,27.6,7.3,5.6,13.5,21.9,116.7,0,
New Orleans Pelicans,23,43.3,89.3,48.5,11.5,30.7,37.5,19.2,24.2,79.4,11.3,33.9,45.1,27.1,8.8,4.5,14.6,19.6,117.3,0,
Cleveland Cavaliers,24,40.3,84.8,47.5,12.1,32.1,37.8,18.7,23.2,80.8,9.7,33.4,43.1,23.5,6.3,4.2,15.1,19.4,111.3,0,
Denver Nuggets,23,43.2,86.4,50,12.3,30.9,39.7,16.1,21.7,74.5,10.4,32.7,43.1,27.9,7.1,4.3,15.3,19.4,114.7,0,
Memphis Grizzlies,23,42.7,92.7,46,12.3,33.8,36.6,17.7,25.3,69.9,14.2,34.8,49,24.3,7,5.3,14.7,20,115.3,0,
Sacramento Kings,22,43.1,87.5,49.3,13.5,37.4,36.2,19.8,24.9,79.5,8,34.2,42.2,28.1,7.2,3.4,15.1,20.9,119.6,0,
Atlanta Hawks,23,43.3,92.4,46.9,9.7,29.6,32.6,17.7,21.5,82.2,11.1,33.5,44.6,23.8,7.3,4.8,13.2,19.9,114,0,
Golden State Warriors,24,43.1,89,48.4,16.7,43.6,38.2,14.8,18.7,79.1,8.9,33.7,42.6,30,7.1,4.1,17.1,22.9,117.7,0,
LA Clippers,24,39,83.3,46.8,11.2,31.4,35.5,17.6,23.7,74.5,8.9,34.4,43.3,22.4,6.5,4.7,15.9,20.3,106.7,0,
Portland Trail Blazers,24,39.2,83.8,46.8,12.1,31.5,38.3,19.8,25.8,76.7,10.7,32.5,43.2,23.8,6.7,4.2,15.2,19.6,110.3,0,
Utah Jazz,26,42.7,89.5,47.7,14.6,39.1,37.4,17.6,22.6,77.9,11.8,32.3,44.1,27.1,7.3,4.9,16,21.6,117.7,0,
Indiana Pacers,23,40.8,90.9,44.9,14.3,40.1,35.5,19.3,24.2,79.7,10.9,32.4,43.3,27.7,8.3,6.4,15.7,22.2,115.1,0,
Philadelphia 76ers,23,39,82.8,47.1,11.9,32,37.2,18.4,22.7,81.1,8.2,31.7,40,23.3,8.4,4.7,14.2,19.5,108.3,0,
Toronto Raptors,23,40.7,90.4,45,10.7,32.3,32.9,18.8,24.3,77.6,12.9,30.8,43.7,23.3,10.2,5.4,13.3,20.6,110.9,0,
Brooklyn Nets,25,41,83.1,49.4,11.8,31.8,37.2,17,21.4,79.6,7.4,32.8,40.2,26,7,7.2,14.7,22.2,110.9,0,
Dallas Mavericks,22,39.2,83.6,46.8,14.3,40.6,35.1,18,25.1,71.6,7.8,30.5,38.3,21.6,8,3.5,12.8,20.8,110.6,0,
Miami Heat,23,39.2,86.6,45.2,11.9,35.3,33.7,19.2,22.7,84.7,9.5,31.7,41.2,23.9,7.7,3.4,14.2,19.3,109.5,0,
Minnesota Timberwolves,23,42.3,87.5,48.3,11.1,34,32.6,19.3,24.4,79.2,9.8,33.3,43.1,26.5,8.3,5.9,16.6,22.3,115,0,
New York Knicks,24,41.7,91.8,45.4,10.7,34,31.3,19.6,24.8,79.3,12.7,34.1,46.8,23.5,7,4.5,14,21.8,113.6,0,
Washington Wizards,24,41.5,88.1,47.1,10.9,32.2,33.8,17.1,22.2,76.9,9.8,34.9,44.7,24.8,6.5,6.2,13.3,20.2,111,0,
Los Angeles Lakers,22,42.3,89.4,47.3,9.9,30,33,20.2,25.4,79.7,9.7,36.2,46,25.1,6.8,5.2,14.5,18.7,114.8,0,
Oklahoma City Thunder,23,44,94.7,46.4,11.5,34,33.8,17.4,22.2,78.4,12.2,32.4,44.6,24.2,8.2,5.9,14.1,21.9,116.8,0,
Chicago Bulls,23,41.1,87.6,46.9,10.1,28.7,35.4,19.2,23.3,82.5,9.6,33.3,42.9,24.3,7.5,5.2,14.6,20.2,111.5,0,
Charlotte Hornets,23,40.9,92.5,44.2,10.2,32,32,16.9,22.9,74,12.7,32.7,45.4,24.9,7.6,4.9,14.8,21.1,109,0,
Houston Rockets,23,38.9,87.6,44.4,12,35.2,34.2,20.2,25.8,78.1,13.3,32.5,45.8,21.5,7.8,4.7,17.8,20.8,110,0,
San Antonio Spurs,24,41.8,91.5,45.7,11.6,34.4,33.8,14.3,19.8,72.2,12,30.6,42.6,27.8,7.1,4.2,16.3,19.9,109.5,0,
Detroit Pistons,25,39.1,87.5,44.7,11,32.5,33.8,20.9,27,77.4,11.3,31.2,42.5,21.9,6.8,4,14.4,23,110.1,0,
Orlando Magic,24,39.2,83.3,47.1,10.5,31,34,18.8,24,78.5,9.8,32.3,42.1,21.2,6.3,5.2,16.6,20.8,107.8,0,
